date,symbol,reportedCurrency,cik,fillingDate,acceptedDate,calendarYear,period,revenue,costOfRevenue,grossProfit,grossProfitRatio,researchAndDevelopmentExpenses,generalAndAdministrativeExpenses,sellingAndMarketingExpenses,sellingGeneralAndAdministrativeExpenses,otherExpenses,operatingExpenses,costAndExpenses,interestIncome,interestExpense,depreciationAndAmortization,ebitda,ebitdaratio,operatingIncome,operatingIncomeRatio,totalOtherIncomeExpensesNet,incomeBeforeTax,incomeBeforeTaxRatio,incomeTaxExpense,netIncome,netIncomeRatio,eps,epsdiluted,weightedAverageShsOut,weightedAverageShsOutDil,link,finalLink
2024-09-28,AAPL,USD,0000320193,2024-11-01,2024-11-01 06:01:36,2024,FY,391035000000,210352000000,180683000000,0.4620634982,31370000000,0,0,26097000000,0,57467000000,267819000000,0,0,11445000000,134661000000,0.3443707085,123216000000,0.3151022287,269000000,123485000000,0.3157901467,29749000000,93736000000,0.2397125577,6.11,6.08,15343783000,15408095000,https://www.sec.gov/Archives/edgar/data/320193/000032019324000123/0000320193-24-000123-index.htm,https://www.sec.gov/Archives/edgar/data/320193/000032019324000123/aapl-20240928.htm
2023-09-30,AAPL,USD,0000320193,2023-11-03,2023-11-02 18:08:27,2023,FY,383285000000,214137000000,169148000000,0.4413112958,29915000000,0,0,24932000000,382000000,54847000000,268984000000,3750000000,3933000000,11519000000,125820000000,0.3282674772,114301000000,0.2982141227,-565000000,113736000000,0.2967400237,16741000000,96995000000,0.2530623426,6.16,6.13,15744231000,15812547000,https://www.sec.gov/Archives/edgar/data/320193/000032019323000106/0000320193-23-000106-index.htm,https://www.sec.gov/Archives/edgar/data/320193/000032019323000106/aapl-20230930.htm
2022-09-24,AAPL,USD,0000320193,2022-10-28,2022-10-27 18:01:14,2022,FY,394328000000,223546000000,170782000000,0.4330963056,26251000000,0,0,25094000000,228000000,51573000000,275119000000,2825000000,2931000000,11104000000,130541000000,0.3310467428,119437000000,0.302887444,-334000000,119103000000,0.3020404333,19300000000,99803000000,0.2530964071,6.15,6.11,16215963000,16325819000,https://www.sec.gov/Archives/edgar/data/320193/000032019322000108/0000320193-22-000108-index.htm,https://www.sec.gov/Archives/edgar/data/320193/000032019322000108/aapl-20220924.htm
2021-09-25,AAPL,USD,0000320193,2021-10-29,2021-10-28 18:04:28,2021,FY,365817000000,212981000000,152836000000,0.4177935963,21914000000,0,0,21973000000,-60000000,43827000000,256808000000,2843000000,2645000000,11284000000,120233000000,0.3286697994,108949000000,0.2978237753,258000000,109207000000,0.2985290459,14527000000,94680000000,0.2588179336,5.67,5.61,16701272000,16864919000,https://www.sec.gov/Archives/edgar/data/320193/000032019321000105/0000320193-21-000105-index.htm,https://www.sec.gov/Archives/edgar/data/320193/000032019321000105/aapl-20210925.htm
2020-09-26,AAPL,USD,0000320193,2020-10-30,2020-10-29 18:06:25,2020,FY,274515000000,169559000000,104956000000,0.3823324773,18752000000,0,0,19916000000,87000000,38755000000,208314000000,3763000000,2873000000,11056000000,77344000000,0.2817478098,66288000000,0.2414731435,803000000,67091000000,0.2443983025,9680000000,57411000000,0.2091361128,3.31,3.28,17352119000,17528214000,https://www.sec.gov/Archives/edgar/data/320193/000032019320000096/0000320193-20-000096-index.htm,https://www.sec.gov/Archives/edgar/data/320193/000032019320000096/aapl-20200926.htm
